File does not exist. Time: 2017/07/31 - 09:46:42, Path: F:\CODE _  Projects\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\favicon.ico, User IP: ::1
File does not exist. Time: 2017/07/31 - 09:46:42, Path: F:\CODE _  Projects\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\favicon.ico, User IP: ::1
The handle is invalid Time: 2017/07/31 - 09:46:49, Path: F:\CODE _  Projects\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Login.aspx, User IP: ::1
The handle is invalid Time: 2017/07/31 - 09:47:06, Path: F:\CODE _  Projects\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Login.aspx, User IP: ::1
The handle is invalid Time: 2017/07/31 - 09:48:02, Path: F:\CODE _  Projects\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Login.aspx, User IP: ::1
The entry 'dbcs' has already been added. (H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\web.config line 6) Time: 2018/04/19 - 10:25:20, Path: H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Default.aspx, User IP: 127.0.0.1
File does not exist. Time: 2018/04/19 - 10:25:20, Path: H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\favicon.ico, User IP: 127.0.0.1
File does not exist. Time: 2018/04/19 - 10:25:20, Path: H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\favicon.ico, User IP: 127.0.0.1
The entry 'dbcs' has already been added. (H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\web.config line 6) Time: 2018/04/19 - 10:28:05, Path: H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Default.aspx, User IP: 127.0.0.1
Access is denied. (Exception from HRESULT: 0x80070005 (E_ACCESSDENIED)) Time: 2018/04/29 - 11:02:59, Path: H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Default.aspx, User IP: 127.0.0.1
Catastrophic failure (Exception from HRESULT: 0x8000FFFF (E_UNEXPECTED)) Time: 2018/08/15 - 10:51:05, Path: H:\CODE\Code\Radman\COD\COD With Boot\ANP.COD\ANP.COD\Content\Login.css, User IP: 127.0.0.1
